ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","13717","Notavailable","160.6","168.1","2.49",
"C50","Breast","3661","Notavailable","86.1","88.8","1.32",
"C73","Thyroid","907","Notavailable","10.6","10.8","0.16",
"C56","Ovary","886","Notavailable","20.8","21.5","0.32",
"C18-21","Colorectum","856","Notavailable","10.0","10.9","0.16",
"C53","Cervixuteri","610","Notavailable","14.3","14.7","0.22",
"C70-72","Brain,centralnervoussystem","603","Notavailable","7.1","7.3","0.11",
"C33-34","Lung","554","Notavailable","6.5","7.2","0.11",
"C62","Testis","509","Notavailable","11.9","11.5","0.17",
"C64-65","Kidney","495","Notavailable","5.8","6.2","0.09",
"C43","Melanomaofskin","491","Notavailable","5.7","5.9","0.09",
"C54","Corpusuteri","457","Notavailable","10.7","11.5","0.17",
"C82-86, C96","Non-Hodgkinlymphoma","410","Notavailable","4.8","4.9","0.07",
"C16","Stomach","391","Notavailable","4.6","4.9","0.07",
"C00-06","Lip,oralcavity","381","Notavailable","4.5","4.7","0.07",
"C67","Bladder","280","Notavailable","3.3","3.6","0.05",
"C32","Larynx","277","Notavailable","3.2","3.6","0.05",
"C25","Pancreas","230","Notavailable","2.7","2.9","0.04",
"C91-95","Leukaemia","226","Notavailable","2.6","2.8","0.04",
"C09-10","Oropharynx","198","Notavailable","2.3","2.5","0.04",
"C15","Oesophagus","133","Notavailable","1.6","1.7","0.03",
"C22","Liver","121","Notavailable","1.4","1.5","0.02",
"C12-13","Hypopharynx","97","Notavailable","1.1","1.3","0.02",
"C81","Hodgkinlymphoma","97","Notavailable","1.1","1.1","0.02",
"C88+C90","Multiplemyeloma","85","Notavailable","1.00","1.1","0.02",
"C61","Prostate","79","Notavailable","1.8","2.1","0.03",
"C23-24","Gallbladder","72","Notavailable","0.84","0.90","0.01",
"C11","Nasopharynx","45","Notavailable","0.53","0.52","0.01",
"C51","Vulva","33","Notavailable","0.78","0.81","0.01",
"C07-08","Salivaryglands","33","Notavailable","0.39","0.41","0.01",
"C60","Penis","28","Notavailable","0.65","0.70","0.01",
"C45","Mesothelioma","19","Notavailable","0.22","0.24","0.00",
"C52","Vagina","2","Notavailable","0.05","0.05","0.00",
"C46","Kaposisarcoma","2","Notavailable","0.02","0.03","0.00",
