ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","3581","Notavailable","45.7","42.0","0.66",
"C62","Testis","620","Notavailable","15.5","15.2","0.23",
"C50","Breast","572","Notavailable","14.9","11.9","0.20",
"C73","Thyroid","449","Notavailable","5.7","5.4","0.08",
"C70-72","Brain,centralnervoussystem","270","Notavailable","3.4","3.3","0.05",
"C56","Ovary","204","Notavailable","5.3","4.7","0.07",
"C43","Melanomaofskin","197","Notavailable","2.5","2.3","0.04",
"C82-86, C96","Non-Hodgkinlymphoma","183","Notavailable","2.3","2.2","0.03",
"C81","Hodgkinlymphoma","160","Notavailable","2.0","2.1","0.03",
"C53","Cervixuteri","133","Notavailable","3.5","2.9","0.05",
"C18-21","Colorectum","99","Notavailable","1.3","1.2","0.02",
"C91-95","Leukaemia","95","Notavailable","1.2","1.2","0.02",
"C67","Bladder","55","Notavailable","0.70","0.62","0.01",
"C54","Corpusuteri","50","Notavailable","1.3","1.2","0.02",
"C64-65","Kidney","42","Notavailable","0.54","0.46","0.01",
"C00-06","Lip,oralcavity","39","Notavailable","0.50","0.45","0.01",
"C16","Stomach","38","Notavailable","0.48","0.46","0.01",
"C33-34","Lung","36","Notavailable","0.46","0.38","0.01",
"C22","Liver","25","Notavailable","0.32","0.30","0.00",
"C11","Nasopharynx","22","Notavailable","0.28","0.27","0.00",
"C25","Pancreas","21","Notavailable","0.27","0.24","0.00",
"C09-10","Oropharynx","9","Notavailable","0.11","0.10","0.00",
"C88+C90","Multiplemyeloma","8","Notavailable","0.10","0.10","0.00",
"C51","Vulva","8","Notavailable","0.21","0.16","0.00",
"C32","Larynx","7","Notavailable","0.09","0.08","0.00",
"C23-24","Gallbladder","7","Notavailable","0.09","0.09","0.00",
"C15","Oesophagus","7","Notavailable","0.09","0.07","0.00",
"C07-08","Salivaryglands","7","Notavailable","0.09","0.09","0.00",
"C12-13","Hypopharynx","4","Notavailable","0.05","0.05","0.00",
"C60","Penis","4","Notavailable","0.10","0.09","0.00",
"C46","Kaposisarcoma","2","Notavailable","0.03","0.02","0.00",
"C45","Mesothelioma","1","Notavailable","0.01","0.01","0.00",
