ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","93159","Notavailable","1599.5","1572.5","28.20",
"C33-34","Lung","16194","Notavailable","278.0","278.4","5.44",
"C18-21","Colorectum","13894","Notavailable","238.6","231.3","4.93",
"C61","Prostate","10471","Notavailable","439.2","438.8","8.69",
"C50","Breast","7369","Notavailable","214.2","221.8","4.04",
"C67","Bladder","6167","Notavailable","105.9","103.1","2.21",
"C54","Corpusuteri","4077","Notavailable","118.5","119.2","2.34",
"C16","Stomach","3562","Notavailable","61.2","58.2","1.32",
"C25","Pancreas","3212","Notavailable","55.1","52.6","1.19",
"C64-65","Kidney","3039","Notavailable","52.2","51.6","1.06",
"C91-95","Leukaemia","2042","Notavailable","35.1","33.1","0.77",
"C56","Ovary","1886","Notavailable","54.8","55.0","1.09",
"C82-86, C96","Non-Hodgkinlymphoma","1828","Notavailable","31.4","30.3","0.67",
"C43","Melanomaofskin","1610","Notavailable","27.6","26.3","0.60",
"C70-72","Brain,centralnervoussystem","1599","Notavailable","27.5","26.8","0.57",
"C00-06","Lip,oralcavity","1424","Notavailable","24.4","24.1","0.50",
"C22","Liver","1365","Notavailable","23.4","22.2","0.51",
"C23-24","Gallbladder","1271","Notavailable","21.8","20.3","0.49",
"C32","Larynx","1229","Notavailable","21.1","22.0","0.39",
"C88+C90","Multiplemyeloma","1187","Notavailable","20.4","19.6","0.44",
"C53","Cervixuteri","1101","Notavailable","32.0","32.2","0.63",
"C73","Thyroid","938","Notavailable","16.1","16.7","0.30",
"C15","Oesophagus","821","Notavailable","14.1","14.0","0.28",
"C09-10","Oropharynx","566","Notavailable","9.7","10.5","0.17",
"C51","Vulva","414","Notavailable","12.0","10.9","0.27",
"C12-13","Hypopharynx","360","Notavailable","6.2","6.6","0.11",
"C45","Mesothelioma","264","Notavailable","4.5","4.5","0.09",
"C07-08","Salivaryglands","221","Notavailable","3.8","3.5","0.08",
"C60","Penis","214","Notavailable","9.0","8.8","0.20",
"C81","Hodgkinlymphoma","125","Notavailable","2.1","2.2","0.04",
"C11","Nasopharynx","114","Notavailable","2.0","2.0","0.04",
"C52","Vagina","52","Notavailable","1.5","1.3","0.04",
"C62","Testis","46","Notavailable","1.9","1.9","0.04",
"C46","Kaposisarcoma","16","Notavailable","0.27","0.24","0.01",
