ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","17780","Notavailable","486.0","455.1","6.86",
"C33-34","Lung","5619","Notavailable","153.6","142.0","2.21",
"C18-21","Colorectum","1959","Notavailable","53.5","49.9","0.78",
"C16","Stomach","1057","Notavailable","28.9","27.3","0.42",
"C25","Pancreas","982","Notavailable","26.8","25.3","0.39",
"C67","Bladder","715","Notavailable","19.5","18.0","0.28",
"C61","Prostate","679","Notavailable","18.6","16.7","0.27",
"C32","Larynx","679","Notavailable","18.6","17.7","0.27",
"C70-72","Brain,centralnervoussystem","672","Notavailable","18.4","17.7","0.27",
"C00-06","Lip,oralcavity","580","Notavailable","15.9","15.3","0.23",
"C15","Oesophagus","572","Notavailable","15.6","14.9","0.23",
"C64-65","Kidney","560","Notavailable","15.3","14.4","0.22",
"C91-95","Leukaemia","410","Notavailable","11.2","10.5","0.16",
"C22","Liver","397","Notavailable","10.9","10.2","0.16",
"C09-10","Oropharynx","355","Notavailable","9.7","9.4","0.14",
"C12-13","Hypopharynx","287","Notavailable","7.8","7.6","0.12",
"C43","Melanomaofskin","261","Notavailable","7.1","6.8","0.11",
"C82-86, C96","Non-Hodgkinlymphoma","257","Notavailable","7.0","6.7","0.10",
"C88+C90","Multiplemyeloma","209","Notavailable","5.7","5.3","0.08",
"C23-24","Gallbladder","181","Notavailable","4.9","4.6","0.07",
"C45","Mesothelioma","123","Notavailable","3.4","3.1","0.05",
"C07-08","Salivaryglands","56","Notavailable","1.5","1.5","0.02",
"C60","Penis","50","Notavailable","1.4","1.3","0.02",
"C73","Thyroid","41","Notavailable","1.1","1.1","0.02",
"C81","Hodgkinlymphoma","25","Notavailable","0.68","0.65","0.01",
"C11","Nasopharynx","25","Notavailable","0.68","0.62","0.01",
"C62","Testis","22","Notavailable","0.60","0.61","0.01",
"C46","Kaposisarcoma","1","Notavailable","0.03","0.02","0.00",
