ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","667","Notavailable","8.5","7.8","0.12",
"C70-72","Brain,centralnervoussystem","113","Notavailable","1.4","1.3","0.02",
"C91-95","Leukaemia","68","Notavailable","0.87","0.86","0.01",
"C82-86, C96","Non-Hodgkinlymphoma","65","Notavailable","0.83","0.80","0.01",
"C62","Testis","55","Notavailable","1.4","1.3","0.02",
"C50","Breast","46","Notavailable","1.2","0.93","0.02",
"C18-21","Colorectum","43","Notavailable","0.55","0.46","0.01",
"C16","Stomach","30","Notavailable","0.38","0.32","0.01",
"C43","Melanomaofskin","29","Notavailable","0.37","0.34","0.01",
"C56","Ovary","22","Notavailable","0.57","0.51","0.01",
"C81","Hodgkinlymphoma","21","Notavailable","0.27","0.23","0.00",
"C22","Liver","18","Notavailable","0.23","0.22","0.00",
"C33-34","Lung","17","Notavailable","0.22","0.18","0.00",
"C25","Pancreas","16","Notavailable","0.20","0.16","0.00",
"C53","Cervixuteri","16","Notavailable","0.42","0.35","0.01",
"C64-65","Kidney","8","Notavailable","0.10","0.08","0.00",
"C15","Oesophagus","4","Notavailable","0.05","0.04","0.00",
"C00-06","Lip,oralcavity","4","Notavailable","0.05","0.04","0.00",
"C11","Nasopharynx","4","Notavailable","0.05","0.05","0.00",
"C23-24","Gallbladder","3","Notavailable","0.04","0.03","0.00",
"C09-10","Oropharynx","2","Notavailable","0.03","0.02","0.00",
"C67","Bladder","1","Notavailable","0.01","0.01","0.00",
"C54","Corpusuteri","1","Notavailable","0.03","0.02","0.00",
"C32","Larynx","1","Notavailable","0.01","0.01","0.00",
"C88+C90","Multiplemyeloma","1","Notavailable","0.01","0.01","0.00",
"C12-13","Hypopharynx","1","Notavailable","0.01","0.01","0.00",
"C51","Vulva","1","Notavailable","0.03","0.02","0.00",
"C60","Penis","1","Notavailable","0.02","0.02","0.00",
