ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","50873","Notavailable","2134.0","2103.7","36.60",
"C61","Prostate","10471","Notavailable","439.2","438.8","8.69",
"C33-34","Lung","10239","Notavailable","429.5","424.7","8.68",
"C18-21","Colorectum","8043","Notavailable","337.4","331.8","7.00",
"C67","Bladder","4725","Notavailable","198.2","193.6","4.27",
"C16","Stomach","2233","Notavailable","93.7","91.0","2.07",
"C64-65","Kidney","1733","Notavailable","72.7","72.0","1.51",
"C25","Pancreas","1540","Notavailable","64.6","63.4","1.39",
"C91-95","Leukaemia","1123","Notavailable","47.1","45.4","1.07",
"C32","Larynx","1052","Notavailable","44.1","44.8","0.83",
"C00-06","Lip,oralcavity","908","Notavailable","38.1","38.2","0.76",
"C82-86, C96","Non-Hodgkinlymphoma","848","Notavailable","35.6","34.5","0.79",
"C70-72","Brain,centralnervoussystem","812","Notavailable","34.1","33.6","0.71",
"C22","Liver","797","Notavailable","33.4","32.5","0.74",
"C43","Melanomaofskin","720","Notavailable","30.2","29.6","0.65",
"C15","Oesophagus","618","Notavailable","25.9","25.8","0.53",
"C88+C90","Multiplemyeloma","566","Notavailable","23.7","23.1","0.53",
"C23-24","Gallbladder","481","Notavailable","20.2","19.3","0.47",
"C09-10","Oropharynx","362","Notavailable","15.2","15.7","0.26",
"C12-13","Hypopharynx","311","Notavailable","13.0","13.4","0.23",
"C60","Penis","214","Notavailable","9.0","8.8","0.20",
"C73","Thyroid","204","Notavailable","8.6","8.7","0.16",
"C45","Mesothelioma","198","Notavailable","8.3","8.3","0.17",
"C07-08","Salivaryglands","125","Notavailable","5.2","5.1","0.12",
"C11","Nasopharynx","76","Notavailable","3.2","3.2","0.06",
"C62","Testis","46","Notavailable","1.9","1.9","0.04",
"C81","Hodgkinlymphoma","46","Notavailable","1.9","1.9","0.04",
"C46","Kaposisarcoma","7","Notavailable","0.29","0.27","0.01",
