ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","397","Notavailable","9.9","9.2","0.14",
"C70-72","Brain,centralnervoussystem","75","Notavailable","1.9","1.7","0.03",
"C62","Testis","55","Notavailable","1.4","1.3","0.02",
"C91-95","Leukaemia","46","Notavailable","1.1","1.1","0.02",
"C82-86, C96","Non-Hodgkinlymphoma","36","Notavailable","0.90","0.86","0.01",
"C18-21","Colorectum","27","Notavailable","0.67","0.57","0.01",
"C43","Melanomaofskin","24","Notavailable","0.60","0.53","0.01",
"C16","Stomach","18","Notavailable","0.45","0.38","0.01",
"C25","Pancreas","13","Notavailable","0.32","0.26","0.00",
"C22","Liver","13","Notavailable","0.32","0.30","0.00",
"C81","Hodgkinlymphoma","13","Notavailable","0.32","0.29","0.00",
"C33-34","Lung","11","Notavailable","0.27","0.24","0.00",
"C64-65","Kidney","5","Notavailable","0.12","0.10","0.00",
"C15","Oesophagus","3","Notavailable","0.07","0.06","0.00",
"C11","Nasopharynx","3","Notavailable","0.07","0.08","0.00",
"C00-06","Lip,oralcavity","2","Notavailable","0.05","0.04","0.00",
"C23-24","Gallbladder","2","Notavailable","0.05","0.04","0.00",
"C09-10","Oropharynx","2","Notavailable","0.05","0.04","0.00",
"C67","Bladder","1","Notavailable","0.02","0.02","0.00",
"C32","Larynx","1","Notavailable","0.02","0.02","0.00",
"C88+C90","Multiplemyeloma","1","Notavailable","0.02","0.02","0.00",
"C12-13","Hypopharynx","1","Notavailable","0.02","0.02","0.00",
"C60","Penis","1","Notavailable","0.02","0.02","0.00",
