ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","1978","Notavailable","51.6","45.9","0.73",
"C50","Breast","572","Notavailable","14.9","11.9","0.20",
"C73","Thyroid","384","Notavailable","10.0","9.4","0.15",
"C56","Ovary","204","Notavailable","5.3","4.7","0.07",
"C53","Cervixuteri","133","Notavailable","3.5","2.9","0.05",
"C70-72","Brain,centralnervoussystem","96","Notavailable","2.5","2.4","0.04",
"C43","Melanomaofskin","91","Notavailable","2.4","2.2","0.03",
"C82-86, C96","Non-Hodgkinlymphoma","74","Notavailable","1.9","1.9","0.03",
"C81","Hodgkinlymphoma","72","Notavailable","1.9","1.9","0.03",
"C54","Corpusuteri","50","Notavailable","1.3","1.2","0.02",
"C91-95","Leukaemia","38","Notavailable","0.99","1.00","0.01",
"C18-21","Colorectum","36","Notavailable","0.94","0.96","0.01",
"C16","Stomach","27","Notavailable","0.70","0.62","0.01",
"C33-34","Lung","20","Notavailable","0.52","0.42","0.01",
"C67","Bladder","20","Notavailable","0.52","0.49","0.01",
"C64-65","Kidney","14","Notavailable","0.37","0.30","0.01",
"C00-06","Lip,oralcavity","11","Notavailable","0.29","0.24","0.00",
"C25","Pancreas","8","Notavailable","0.21","0.18","0.00",
"C22","Liver","8","Notavailable","0.21","0.21","0.00",
"C51","Vulva","8","Notavailable","0.21","0.16","0.00",
"C11","Nasopharynx","5","Notavailable","0.13","0.12","0.00",
"C09-10","Oropharynx","4","Notavailable","0.10","0.08","0.00",
"C07-08","Salivaryglands","4","Notavailable","0.10","0.10","0.00",
"C23-24","Gallbladder","3","Notavailable","0.08","0.09","0.00",
"C32","Larynx","3","Notavailable","0.08","0.08","0.00",
"C15","Oesophagus","3","Notavailable","0.08","0.06","0.00",
"C88+C90","Multiplemyeloma","1","Notavailable","0.03","0.03","0.00",
