ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","31464","Notavailable","860.1","807.6","11.83",
"C33-34","Lung","6316","Notavailable","172.6","160.7","2.49",
"C18-21","Colorectum","4560","Notavailable","124.6","116.4","1.80",
"C61","Prostate","4162","Notavailable","113.8","102.3","1.62",
"C67","Bladder","2612","Notavailable","71.4","66.5","1.04",
"C64-65","Kidney","1470","Notavailable","40.2","38.4","0.59",
"C32","Larynx","1379","Notavailable","37.7","36.2","0.56",
"C16","Stomach","1345","Notavailable","36.8","34.8","0.54",
"C00-06","Lip,oralcavity","1052","Notavailable","28.8","27.8","0.43",
"C25","Pancreas","1018","Notavailable","27.8","26.3","0.41",
"C70-72","Brain,centralnervoussystem","805","Notavailable","22.0","21.4","0.33",
"C09-10","Oropharynx","684","Notavailable","18.7","18.2","0.28",
"C91-95","Leukaemia","639","Notavailable","17.5","16.5","0.26",
"C82-86, C96","Non-Hodgkinlymphoma","611","Notavailable","16.7","16.1","0.25",
"C15","Oesophagus","597","Notavailable","16.3","15.6","0.24",
"C43","Melanomaofskin","591","Notavailable","16.2","15.6","0.24",
"C12-13","Hypopharynx","557","Notavailable","15.2","14.7","0.23",
"C22","Liver","507","Notavailable","13.9","13.1","0.20",
"C88+C90","Multiplemyeloma","327","Notavailable","8.9","8.4","0.13",
"C73","Thyroid","246","Notavailable","6.7","6.5","0.10",
"C23-24","Gallbladder","226","Notavailable","6.2","5.8","0.09",
"C62","Testis","145","Notavailable","4.0","4.2","0.06",
"C45","Mesothelioma","139","Notavailable","3.8","3.6","0.06",
"C60","Penis","116","Notavailable","3.2","3.0","0.05",
"C07-08","Salivaryglands","115","Notavailable","3.1","3.0","0.05",
"C81","Hodgkinlymphoma","59","Notavailable","1.6","1.6","0.02",
"C11","Nasopharynx","44","Notavailable","1.2","1.1","0.02",
"C46","Kaposisarcoma","1","Notavailable","0.03","0.02","0.00",
