ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","28834","Notavailable","726.9","691.7","10.08",
"C50","Breast","7997","Notavailable","201.6","196.3","2.94",
"C33-34","Lung","3867","Notavailable","97.5","89.4","1.39",
"C54","Corpusuteri","2793","Notavailable","70.4","66.2","1.02",
"C18-21","Colorectum","2662","Notavailable","67.1","62.6","0.97",
"C56","Ovary","1802","Notavailable","45.4","44.4","0.67",
"C53","Cervixuteri","1198","Notavailable","30.2","29.6","0.45",
"C73","Thyroid","1010","Notavailable","25.5","25.2","0.38",
"C64-65","Kidney","803","Notavailable","20.2","19.0","0.29",
"C67","Bladder","774","Notavailable","19.5","18.2","0.28",
"C25","Pancreas","633","Notavailable","16.0","14.8","0.23",
"C82-86, C96","Non-Hodgkinlymphoma","552","Notavailable","13.9","13.1","0.20",
"C16","Stomach","550","Notavailable","13.9","13.1","0.20",
"C70-72","Brain,centralnervoussystem","532","Notavailable","13.4","12.9","0.20",
"C43","Melanomaofskin","455","Notavailable","11.5","11.1","0.17",
"C91-95","Leukaemia","390","Notavailable","9.8","9.2","0.14",
"C00-06","Lip,oralcavity","305","Notavailable","7.7","7.3","0.11",
"C23-24","Gallbladder","303","Notavailable","7.6","7.1","0.11",
"C09-10","Oropharynx","268","Notavailable","6.8","6.4","0.10",
"C88+C90","Multiplemyeloma","245","Notavailable","6.2","5.7","0.09",
"C32","Larynx","222","Notavailable","5.6","5.3","0.08",
"C22","Liver","217","Notavailable","5.5","5.1","0.08",
"C51","Vulva","133","Notavailable","3.4","3.1","0.05",
"C15","Oesophagus","120","Notavailable","3.0","2.9","0.04",
"C12-13","Hypopharynx","57","Notavailable","1.4","1.4","0.02",
"C81","Hodgkinlymphoma","55","Notavailable","1.4","1.3","0.02",
"C07-08","Salivaryglands","52","Notavailable","1.3","1.2","0.02",
"C45","Mesothelioma","43","Notavailable","1.1","1.1","0.02",
"C11","Nasopharynx","37","Notavailable","0.93","0.87","0.01",
"C52","Vagina","30","Notavailable","0.76","0.75","0.01",
"C46","Kaposisarcoma","1","Notavailable","0.03","0.02","0.00",
