ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","60298","Notavailable","790.8","745.6","10.90",
"C33-34","Lung","10183","Notavailable","133.5","123.3","1.91",
"C50","Breast","7997","Notavailable","201.6","196.3","2.94",
"C18-21","Colorectum","7222","Notavailable","94.7","88.2","1.36",
"C61","Prostate","4162","Notavailable","113.8","102.3","1.62",
"C67","Bladder","3386","Notavailable","44.4","41.2","0.64",
"C54","Corpusuteri","2793","Notavailable","70.4","66.2","1.02",
"C64-65","Kidney","2273","Notavailable","29.8","28.3","0.44",
"C16","Stomach","1895","Notavailable","24.9","23.5","0.36",
"C56","Ovary","1802","Notavailable","45.4","44.4","0.67",
"C25","Pancreas","1651","Notavailable","21.7","20.3","0.31",
"C32","Larynx","1601","Notavailable","21.0","20.1","0.31",
"C00-06","Lip,oralcavity","1357","Notavailable","17.8","17.2","0.26",
"C70-72","Brain,centralnervoussystem","1337","Notavailable","17.5","17.0","0.26",
"C73","Thyroid","1256","Notavailable","16.5","16.2","0.25",
"C53","Cervixuteri","1198","Notavailable","30.2","29.6","0.45",
"C82-86, C96","Non-Hodgkinlymphoma","1163","Notavailable","15.3","14.5","0.22",
"C43","Melanomaofskin","1046","Notavailable","13.7","13.2","0.20",
"C91-95","Leukaemia","1029","Notavailable","13.5","12.7","0.20",
"C09-10","Oropharynx","952","Notavailable","12.5","12.0","0.18",
"C22","Liver","724","Notavailable","9.5","8.9","0.14",
"C15","Oesophagus","717","Notavailable","9.4","9.0","0.14",
"C12-13","Hypopharynx","614","Notavailable","8.1","7.8","0.12",
"C88+C90","Multiplemyeloma","572","Notavailable","7.5","7.0","0.11",
"C23-24","Gallbladder","529","Notavailable","6.9","6.5","0.10",
"C45","Mesothelioma","182","Notavailable","2.4","2.3","0.03",
"C07-08","Salivaryglands","167","Notavailable","2.2","2.1","0.03",
"C62","Testis","145","Notavailable","4.0","4.2","0.06",
"C51","Vulva","133","Notavailable","3.4","3.1","0.05",
"C60","Penis","116","Notavailable","3.2","3.0","0.05",
"C81","Hodgkinlymphoma","114","Notavailable","1.5","1.4","0.02",
"C11","Nasopharynx","81","Notavailable","1.1","0.99","0.02",
"C52","Vagina","30","Notavailable","0.76","0.75","0.01",
"C46","Kaposisarcoma","2","Notavailable","0.03","0.02","0.00",
