ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","27294","Notavailable","793.3","738.2","15.72",
"C33-34","Lung","5460","Notavailable","158.7","161.4","3.08",
"C18-21","Colorectum","3580","Notavailable","104.1","91.7","2.33",
"C50","Breast","3267","Notavailable","95.0","88.5","2.02",
"C25","Pancreas","1674","Notavailable","48.7","44.8","1.06",
"C56","Ovary","1555","Notavailable","45.2","44.2","0.92",
"C54","Corpusuteri","1247","Notavailable","36.2","33.3","0.79",
"C16","Stomach","1162","Notavailable","33.8","30.1","0.75",
"C53","Cervixuteri","850","Notavailable","24.7","24.0","0.51",
"C91-95","Leukaemia","755","Notavailable","21.9","19.6","0.49",
"C23-24","Gallbladder","754","Notavailable","21.9","19.8","0.48",
"C70-72","Brain,centralnervoussystem","705","Notavailable","20.5","19.7","0.43",
"C64-65","Kidney","683","Notavailable","19.9","18.2","0.44",
"C82-86, C96","Non-Hodgkinlymphoma","621","Notavailable","18.1","16.6","0.39",
"C67","Bladder","555","Notavailable","16.1","14.1","0.37",
"C22","Liver","533","Notavailable","15.5","13.7","0.35",
"C88+C90","Multiplemyeloma","495","Notavailable","14.4","13.2","0.32",
"C43","Melanomaofskin","400","Notavailable","11.6","9.9","0.27",
"C51","Vulva","220","Notavailable","6.4","5.4","0.15",
"C00-06","Lip,oralcavity","196","Notavailable","5.7","5.2","0.12",
"C15","Oesophagus","186","Notavailable","5.4","5.0","0.12",
"C73","Thyroid","137","Notavailable","4.0","3.5","0.09",
"C32","Larynx","108","Notavailable","3.1","3.2","0.06",
"C09-10","Oropharynx","82","Notavailable","2.4","2.6","0.04",
"C45","Mesothelioma","62","Notavailable","1.8","1.8","0.04",
"C07-08","Salivaryglands","49","Notavailable","1.4","1.2","0.03",
"C81","Hodgkinlymphoma","49","Notavailable","1.4","1.3","0.03",
"C52","Vagina","36","Notavailable","1.0","0.85","0.03",
"C12-13","Hypopharynx","24","Notavailable","0.70","0.73","0.01",
"C11","Nasopharynx","21","Notavailable","0.61","0.57","0.01",
"C46","Kaposisarcoma","1","Notavailable","0.03","0.02","0.00",
