ICD,Cancer,5-year,Proportions***
"C00-97","Allcancers","72829","1990.8",
"C18-21","Colorectum","12285","335.8",
"C61","Prostate","11766","321.6",
"C67","Bladder","8331","227.7",
"C33-34","Lung","6865","187.7",
"C32","Larynx","4194","114.6",
"C64-65","Kidney","3858","105.5",
"C00-06","Lip,oralcavity","3090","84.5",
"C09-10","Oropharynx","2366","64.7",
"C16","Stomach","2138","58.4",
"C70-72","Brain,centralnervoussystem","2123","58.0",
"C91-95","Leukaemia","1944","53.1",
"C43","Melanomaofskin","1888","51.6",
"C82-86, C96","Non-Hodgkinlymphoma","1882","51.4",
"C12-13","Hypopharynx","951","26.0",
"C73","Thyroid","923","25.2",
"C88+C90","Multiplemyeloma","923","25.2",
"C62","Testis","747","20.4",
"C25","Pancreas","718","19.6",
"C15","Oesophagus","667","18.2",
"C22","Liver","397","10.9",
"C60","Penis","364","9.9",
"C07-08","Salivaryglands","319","8.7",
"C23-24","Gallbladder","299","8.2",
"C81","Hodgkinlymphoma","224","6.1",
"C45","Mesothelioma","168","4.6",
"C11","Nasopharynx","140","3.8",
"C46","Kaposisarcoma","3","0.08",
