ICD,Cancer,5-year,Proportions***
"C00-97","Allcancers","1987","54.5",
"C91-95","Leukaemia","593","16.3",
"C70-72","Brain,centralnervoussystem","298","8.2",
"C64-65","Kidney","185","5.1",
"C73","Thyroid","101","2.8",
"C81","Hodgkinlymphoma","90","2.5",
"C82-86, C96","Non-Hodgkinlymphoma","78","2.1",
"C56","Ovary","64","1.8",
"C22","Liver","21","0.58",
"C43","Melanomaofskin","14","0.38",
"C18-21","Colorectum","10","0.27",
"C00-06","Lip,oralcavity","8","0.22",
"C67","Bladder","5","0.14",
"C33-34","Lung","3","0.08",
"C53","Cervixuteri","3","0.08",
