ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","5050","Notavailable","117.8","125.1","1.86",
"C62","Testis","509","Notavailable","11.9","11.5","0.17",
"C18-21","Colorectum","415","Notavailable","9.7","10.8","0.16",
"C70-72","Brain,centralnervoussystem","384","Notavailable","9.0","9.2","0.14",
"C33-34","Lung","375","Notavailable","8.7","9.8","0.15",
"C64-65","Kidney","331","Notavailable","7.7","8.3","0.12",
"C00-06","Lip,oralcavity","318","Notavailable","7.4","7.9","0.12",
"C43","Melanomaofskin","282","Notavailable","6.6","6.7","0.10",
"C32","Larynx","260","Notavailable","6.1","6.7","0.10",
"C82-86, C96","Non-Hodgkinlymphoma","252","Notavailable","5.9","6.1","0.09",
"C16","Stomach","243","Notavailable","5.7","6.1","0.09",
"C67","Bladder","187","Notavailable","4.4","4.8","0.07",
"C09-10","Oropharynx","182","Notavailable","4.2","4.6","0.07",
"C25","Pancreas","157","Notavailable","3.7","4.0","0.06",
"C73","Thyroid","136","Notavailable","3.2","3.2","0.05",
"C91-95","Leukaemia","133","Notavailable","3.1","3.3","0.05",
"C15","Oesophagus","120","Notavailable","2.8","3.0","0.05",
"C22","Liver","89","Notavailable","2.1","2.2","0.03",
"C12-13","Hypopharynx","88","Notavailable","2.1","2.3","0.03",
"C61","Prostate","79","Notavailable","1.8","2.1","0.03",
"C81","Hodgkinlymphoma","59","Notavailable","1.4","1.4","0.02",
"C88+C90","Multiplemyeloma","55","Notavailable","1.3","1.4","0.02",
"C11","Nasopharynx","39","Notavailable","0.91","0.90","0.01",
"C23-24","Gallbladder","34","Notavailable","0.79","0.85","0.01",
"C60","Penis","28","Notavailable","0.65","0.70","0.01",
"C07-08","Salivaryglands","22","Notavailable","0.51","0.56","0.01",
"C45","Mesothelioma","16","Notavailable","0.37","0.41","0.01",
"C46","Kaposisarcoma","1","Notavailable","0.02","0.02","0.00",
