ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","2176","Notavailable","50.8","54.6","0.82",
"C70-72","Brain,centralnervoussystem","250","Notavailable","5.8","6.1","0.09",
"C33-34","Lung","237","Notavailable","5.5","6.1","0.09",
"C18-21","Colorectum","173","Notavailable","4.0","4.4","0.07",
"C16","Stomach","171","Notavailable","4.0","4.3","0.06",
"C00-06","Lip,oralcavity","138","Notavailable","3.2","3.5","0.05",
"C25","Pancreas","132","Notavailable","3.1","3.4","0.05",
"C43","Melanomaofskin","93","Notavailable","2.2","2.3","0.03",
"C15","Oesophagus","88","Notavailable","2.1","2.3","0.03",
"C82-86, C96","Non-Hodgkinlymphoma","88","Notavailable","2.1","2.1","0.03",
"C91-95","Leukaemia","80","Notavailable","1.9","1.9","0.03",
"C32","Larynx","79","Notavailable","1.8","2.1","0.03",
"C64-65","Kidney","74","Notavailable","1.7","1.9","0.03",
"C22","Liver","63","Notavailable","1.5","1.6","0.02",
"C09-10","Oropharynx","62","Notavailable","1.4","1.6","0.02",
"C62","Testis","56","Notavailable","1.3","1.3","0.02",
"C12-13","Hypopharynx","44","Notavailable","1.0","1.2","0.02",
"C67","Bladder","36","Notavailable","0.84","0.91","0.01",
"C88+C90","Multiplemyeloma","27","Notavailable","0.63","0.67","0.01",
"C23-24","Gallbladder","22","Notavailable","0.51","0.55","0.01",
"C81","Hodgkinlymphoma","21","Notavailable","0.49","0.49","0.01",
"C61","Prostate","19","Notavailable","0.44","0.50","0.01",
"C45","Mesothelioma","14","Notavailable","0.33","0.36","0.01",
"C11","Nasopharynx","14","Notavailable","0.33","0.33","0.00",
"C60","Penis","12","Notavailable","0.28","0.30","0.00",
"C07-08","Salivaryglands","9","Notavailable","0.21","0.23","0.00",
"C73","Thyroid","9","Notavailable","0.21","0.22","0.00",
"C46","Kaposisarcoma","2","Notavailable","0.05","0.04","0.00",
