ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","645","Notavailable","16.8","17.2","0.34",
"C91-95","Leukaemia","181","Notavailable","4.7","5.0","0.09",
"C70-72","Brain,centralnervoussystem","111","Notavailable","2.9","2.9","0.06",
"C62","Testis","88","Notavailable","2.3","2.2","0.05",
"C82-86, C96","Non-Hodgkinlymphoma","43","Notavailable","1.1","1.1","0.02",
"C81","Hodgkinlymphoma","40","Notavailable","1.0","0.97","0.02",
"C64-65","Kidney","19","Notavailable","0.49","0.58","0.01",
"C22","Liver","11","Notavailable","0.29","0.33","0.01",
"C73","Thyroid","8","Notavailable","0.21","0.20","0.00",
"C43","Melanomaofskin","4","Notavailable","0.10","0.10","0.00",
"C67","Bladder","2","Notavailable","0.05","0.06","0.00",
"C00-06","Lip,oralcavity","1","Notavailable","0.03","0.02","0.00",
"C60","Penis","1","Notavailable","0.03","0.02","0.00",
