ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","62781","Notavailable","1077.9","1019.1","21.07",
"C33-34","Lung","15677","Notavailable","269.2","268.5","5.32",
"C18-21","Colorectum","8582","Notavailable","147.3","136.1","3.30",
"C61","Prostate","3769","Notavailable","158.1","143.5","4.11",
"C50","Breast","3267","Notavailable","95.0","88.5","2.02",
"C16","Stomach","3244","Notavailable","55.7","52.3","1.23",
"C25","Pancreas","3225","Notavailable","55.4","52.9","1.19",
"C67","Bladder","2714","Notavailable","46.6","42.6","1.07",
"C64-65","Kidney","1802","Notavailable","30.9","29.2","0.68",
"C91-95","Leukaemia","1741","Notavailable","29.9","27.6","0.68",
"C56","Ovary","1555","Notavailable","45.2","44.2","0.92",
"C70-72","Brain,centralnervoussystem","1488","Notavailable","25.5","25.0","0.53",
"C22","Liver","1252","Notavailable","21.5","20.2","0.48",
"C54","Corpusuteri","1247","Notavailable","36.2","33.3","0.79",
"C82-86, C96","Non-Hodgkinlymphoma","1203","Notavailable","20.7","19.2","0.47",
"C23-24","Gallbladder","1185","Notavailable","20.3","18.8","0.46",
"C88+C90","Multiplemyeloma","990","Notavailable","17.0","16.0","0.38",
"C53","Cervixuteri","850","Notavailable","24.7","24.0","0.51",
"C32","Larynx","839","Notavailable","14.4","14.7","0.28",
"C43","Melanomaofskin","830","Notavailable","14.3","12.9","0.33",
"C15","Oesophagus","799","Notavailable","13.7","13.6","0.28",
"C00-06","Lip,oralcavity","630","Notavailable","10.8","10.7","0.22",
"C09-10","Oropharynx","302","Notavailable","5.2","5.5","0.09",
"C45","Mesothelioma","258","Notavailable","4.4","4.4","0.09",
"C51","Vulva","220","Notavailable","6.4","5.4","0.15",
"C73","Thyroid","210","Notavailable","3.6","3.3","0.08",
"C12-13","Hypopharynx","206","Notavailable","3.5","3.7","0.06",
"C07-08","Salivaryglands","129","Notavailable","2.2","2.0","0.05",
"C81","Hodgkinlymphoma","86","Notavailable","1.5","1.4","0.03",
"C60","Penis","77","Notavailable","3.2","3.0","0.08",
"C11","Nasopharynx","70","Notavailable","1.2","1.2","0.02",
"C52","Vagina","36","Notavailable","1.0","0.85","0.03",
"C62","Testis","23","Notavailable","0.96","0.92","0.02",
"C46","Kaposisarcoma","4","Notavailable","0.07","0.06","0.00",
