ICD,Cancer,5-year,Proportions***
"C00-97","Allcancers","4261","56.9",
"C91-95","Leukaemia","1336","17.8",
"C70-72","Brain,centralnervoussystem","669","8.9",
"C64-65","Kidney","263","3.5",
"C82-86, C96","Non-Hodgkinlymphoma","239","3.2",
"C62","Testis","206","5.4",
"C81","Hodgkinlymphoma","205","2.7",
"C73","Thyroid","120","1.6",
"C56","Ovary","64","1.8",
"C22","Liver","58","0.77",
"C43","Melanomaofskin","28","0.37",
"C67","Bladder","24","0.32",
"C00-06","Lip,oralcavity","13","0.17",
"C18-21","Colorectum","10","0.13",
"C33-34","Lung","3","0.04",
"C53","Cervixuteri","3","0.08",
"C60","Penis","1","0.03",
