ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","42286","Notavailable","1229.1","1201.4","22.33",
"C50","Breast","7369","Notavailable","214.2","221.8","4.04",
"C33-34","Lung","5955","Notavailable","173.1","176.3","3.35",
"C18-21","Colorectum","5851","Notavailable","170.1","160.1","3.57",
"C54","Corpusuteri","4077","Notavailable","118.5","119.2","2.34",
"C56","Ovary","1886","Notavailable","54.8","55.0","1.09",
"C25","Pancreas","1672","Notavailable","48.6","44.8","1.06",
"C67","Bladder","1442","Notavailable","41.9","39.8","0.88",
"C16","Stomach","1329","Notavailable","38.6","35.2","0.85",
"C64-65","Kidney","1306","Notavailable","38.0","37.1","0.78",
"C53","Cervixuteri","1101","Notavailable","32.0","32.2","0.63",
"C82-86, C96","Non-Hodgkinlymphoma","980","Notavailable","28.5","27.5","0.59",
"C91-95","Leukaemia","919","Notavailable","26.7","24.6","0.58",
"C43","Melanomaofskin","890","Notavailable","25.9","23.7","0.56",
"C23-24","Gallbladder","790","Notavailable","23.0","21.0","0.50",
"C70-72","Brain,centralnervoussystem","787","Notavailable","22.9","22.0","0.48",
"C73","Thyroid","734","Notavailable","21.3","22.6","0.40",
"C88+C90","Multiplemyeloma","621","Notavailable","18.1","17.2","0.38",
"C22","Liver","568","Notavailable","16.5","14.8","0.37",
"C00-06","Lip,oralcavity","516","Notavailable","15.0","13.9","0.32",
"C51","Vulva","414","Notavailable","12.0","10.9","0.27",
"C09-10","Oropharynx","204","Notavailable","5.9","6.6","0.10",
"C15","Oesophagus","203","Notavailable","5.9","5.5","0.13",
"C32","Larynx","177","Notavailable","5.1","5.5","0.10",
"C07-08","Salivaryglands","96","Notavailable","2.8","2.4","0.06",
"C81","Hodgkinlymphoma","79","Notavailable","2.3","2.3","0.05",
"C45","Mesothelioma","66","Notavailable","1.9","1.9","0.04",
"C52","Vagina","52","Notavailable","1.5","1.3","0.04",
"C12-13","Hypopharynx","49","Notavailable","1.4","1.5","0.03",
"C11","Nasopharynx","38","Notavailable","1.1","1.1","0.02",
"C46","Kaposisarcoma","9","Notavailable","0.26","0.21","0.01",
