ICD,Cancer,5-year,Proportions***
"C00-97","Allcancers","162232","2127.6",
"C50","Breast","32109","809.4",
"C18-21","Colorectum","20079","263.3",
"C33-34","Lung","11951","156.7",
"C61","Prostate","11766","321.6",
"C67","Bladder","10746","140.9",
"C54","Corpusuteri","10287","259.3",
"C64-65","Kidney","6100","80.0",
"C56","Ovary","5586","140.8",
"C73","Thyroid","5245","68.8",
"C32","Larynx","4885","64.1",
"C00-06","Lip,oralcavity","4039","53.0",
"C53","Cervixuteri","4021","101.4",
"C70-72","Brain,centralnervoussystem","3878","50.9",
"C82-86, C96","Non-Hodgkinlymphoma","3717","48.7",
"C09-10","Oropharynx","3381","44.3",
"C43","Melanomaofskin","3370","44.2",
"C16","Stomach","3132","41.1",
"C91-95","Leukaemia","3116","40.9",
"C88+C90","Multiplemyeloma","1638","21.5",
"C25","Pancreas","1237","16.2",
"C12-13","Hypopharynx","1076","14.1",
"C15","Oesophagus","823","10.8",
"C62","Testis","747","20.4",
"C23-24","Gallbladder","676","8.9",
"C22","Liver","593","7.8",
"C51","Vulva","495","12.5",
"C07-08","Salivaryglands","470","6.2",
"C81","Hodgkinlymphoma","439","5.8",
"C60","Penis","364","9.9",
"C11","Nasopharynx","279","3.7",
"C45","Mesothelioma","234","3.1",
"C52","Vagina","100","2.5",
"C46","Kaposisarcoma","6","0.08",
