ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","12564","Notavailable","316.7","295.0","4.48",
"C33-34","Lung","3213","Notavailable","81.0","73.3","1.15",
"C50","Breast","2014","Notavailable","50.8","48.6","0.74",
"C18-21","Colorectum","1117","Notavailable","28.2","26.2","0.41",
"C56","Ovary","1073","Notavailable","27.0","25.8","0.40",
"C53","Cervixuteri","679","Notavailable","17.1","16.4","0.25",
"C25","Pancreas","621","Notavailable","15.7","14.5","0.23",
"C70-72","Brain,centralnervoussystem","417","Notavailable","10.5","10.0","0.15",
"C16","Stomach","403","Notavailable","10.2","9.6","0.15",
"C54","Corpusuteri","366","Notavailable","9.2","8.4","0.13",
"C23-24","Gallbladder","257","Notavailable","6.5","6.0","0.09",
"C64-65","Kidney","230","Notavailable","5.8","5.4","0.08",
"C91-95","Leukaemia","228","Notavailable","5.7","5.3","0.08",
"C82-86, C96","Non-Hodgkinlymphoma","207","Notavailable","5.2","4.8","0.08",
"C22","Liver","177","Notavailable","4.5","4.1","0.06",
"C67","Bladder","176","Notavailable","4.4","4.1","0.06",
"C43","Melanomaofskin","152","Notavailable","3.8","3.7","0.06",
"C88+C90","Multiplemyeloma","140","Notavailable","3.5","3.2","0.05",
"C00-06","Lip,oralcavity","134","Notavailable","3.4","3.2","0.05",
"C15","Oesophagus","106","Notavailable","2.7","2.5","0.04",
"C32","Larynx","94","Notavailable","2.4","2.2","0.03",
"C09-10","Oropharynx","86","Notavailable","2.2","2.0","0.03",
"C51","Vulva","50","Notavailable","1.3","1.2","0.02",
"C73","Thyroid","42","Notavailable","1.1","0.98","0.02",
"C45","Mesothelioma","36","Notavailable","0.91","0.88","0.01",
"C12-13","Hypopharynx","23","Notavailable","0.58","0.56","0.01",
"C07-08","Salivaryglands","21","Notavailable","0.53","0.50","0.01",
"C81","Hodgkinlymphoma","19","Notavailable","0.48","0.48","0.01",
"C11","Nasopharynx","19","Notavailable","0.48","0.45","0.01",
"C52","Vagina","14","Notavailable","0.35","0.34","0.01",
"C46","Kaposisarcoma","2","Notavailable","0.05","0.05","0.00",
