ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","30344","Notavailable","397.9","371.1","5.61",
"C33-34","Lung","8832","Notavailable","115.8","106.0","1.65",
"C18-21","Colorectum","3076","Notavailable","40.3","37.5","0.58",
"C50","Breast","2014","Notavailable","50.8","48.6","0.74",
"C25","Pancreas","1603","Notavailable","21.0","19.6","0.30",
"C16","Stomach","1460","Notavailable","19.1","18.0","0.28",
"C70-72","Brain,centralnervoussystem","1089","Notavailable","14.3","13.7","0.21",
"C56","Ovary","1073","Notavailable","27.0","25.8","0.40",
"C67","Bladder","891","Notavailable","11.7","10.7","0.17",
"C64-65","Kidney","790","Notavailable","10.4","9.7","0.15",
"C32","Larynx","773","Notavailable","10.1","9.6","0.15",
"C00-06","Lip,oralcavity","714","Notavailable","9.4","9.0","0.14",
"C61","Prostate","679","Notavailable","18.6","16.7","0.27",
"C53","Cervixuteri","679","Notavailable","17.1","16.4","0.25",
"C15","Oesophagus","678","Notavailable","8.9","8.4","0.13",
"C91-95","Leukaemia","638","Notavailable","8.4","7.8","0.12",
"C22","Liver","574","Notavailable","7.5","7.0","0.11",
"C82-86, C96","Non-Hodgkinlymphoma","464","Notavailable","6.1","5.7","0.09",
"C09-10","Oropharynx","441","Notavailable","5.8","5.6","0.09",
"C23-24","Gallbladder","438","Notavailable","5.7","5.3","0.08",
"C43","Melanomaofskin","413","Notavailable","5.4","5.2","0.08",
"C54","Corpusuteri","366","Notavailable","9.2","8.4","0.13",
"C88+C90","Multiplemyeloma","349","Notavailable","4.6","4.2","0.07",
"C12-13","Hypopharynx","310","Notavailable","4.1","3.9","0.06",
"C45","Mesothelioma","159","Notavailable","2.1","2.0","0.03",
"C73","Thyroid","83","Notavailable","1.1","1.0","0.02",
"C07-08","Salivaryglands","77","Notavailable","1.0","0.97","0.01",
"C51","Vulva","50","Notavailable","1.3","1.2","0.02",
"C60","Penis","50","Notavailable","1.4","1.3","0.02",
"C81","Hodgkinlymphoma","44","Notavailable","0.58","0.56","0.01",
"C11","Nasopharynx","44","Notavailable","0.58","0.53","0.01",
"C62","Testis","22","Notavailable","0.60","0.61","0.01",
"C52","Vagina","14","Notavailable","0.35","0.34","0.01",
"C46","Kaposisarcoma","3","Notavailable","0.04","0.04","0.00",
