ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","2132","Notavailable","50.1","52.8","0.79",
"C50","Breast","598","Notavailable","14.1","14.7","0.22",
"C56","Ovary","279","Notavailable","6.6","6.9","0.10",
"C53","Cervixuteri","211","Notavailable","5.0","5.2","0.08",
"C18-21","Colorectum","165","Notavailable","3.9","4.1","0.06",
"C33-34","Lung","147","Notavailable","3.5","3.7","0.06",
"C70-72","Brain,centralnervoussystem","131","Notavailable","3.1","3.2","0.05",
"C16","Stomach","102","Notavailable","2.4","2.5","0.04",
"C25","Pancreas","68","Notavailable","1.6","1.7","0.03",
"C43","Melanomaofskin","63","Notavailable","1.5","1.5","0.02",
"C91-95","Leukaemia","49","Notavailable","1.2","1.2","0.02",
"C82-86, C96","Non-Hodgkinlymphoma","42","Notavailable","0.99","1.0","0.02",
"C64-65","Kidney","30","Notavailable","0.71","0.75","0.01",
"C23-24","Gallbladder","27","Notavailable","0.63","0.68","0.01",
"C22","Liver","24","Notavailable","0.56","0.60","0.01",
"C54","Corpusuteri","23","Notavailable","0.54","0.57","0.01",
"C00-06","Lip,oralcavity","19","Notavailable","0.45","0.48","0.01",
"C67","Bladder","14","Notavailable","0.33","0.35","0.01",
"C88+C90","Multiplemyeloma","14","Notavailable","0.33","0.36","0.01",
"C15","Oesophagus","12","Notavailable","0.28","0.30","0.00",
"C51","Vulva","9","Notavailable","0.21","0.23","0.00",
"C73","Thyroid","7","Notavailable","0.16","0.17","0.00",
"C32","Larynx","6","Notavailable","0.14","0.15","0.00",
"C09-10","Oropharynx","6","Notavailable","0.14","0.15","0.00",
"C81","Hodgkinlymphoma","6","Notavailable","0.14","0.14","0.00",
"C07-08","Salivaryglands","5","Notavailable","0.12","0.12","0.00",
"C12-13","Hypopharynx","4","Notavailable","0.09","0.10","0.00",
"C45","Mesothelioma","3","Notavailable","0.07","0.07","0.00",
"C52","Vagina","2","Notavailable","0.05","0.05","0.00",
"C11","Nasopharynx","2","Notavailable","0.05","0.05","0.00",
